model,mode_1,count_1,mode_2,count_2,total_pairs,winner,ratio,proportions,p_value,significant
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,endorsementLine,999,original,26,2,endorsementLine,38.420,97.46% vs 2.54%,0.00e+00,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,fusion,840,original,25,2,fusion,33.600,97.11% vs 2.89%,0.00e+00,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,addExample,622,original,333,2,addExample,1.870,65.13% vs 34.87%,6.25e-40,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,maintenanceLine,749,original,412,2,maintenanceLine,1.820,64.51% vs 35.49%,1.87e-44,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,increaseLength,654,original,478,2,increaseLength,1.370,57.77% vs 42.23%,1.38e-13,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,companyName,640,original,514,2,companyName,1.250,55.46% vs 44.54%,1.56e-07,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,numbersLine,650,original,530,2,numbersLine,1.230,55.08% vs 44.92%,7.80e-07,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,makeCasual,590,original,548,2,tie,1.080,51.85% vs 48.15%,7.83e-02,False
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,makeProfessional,588,original,546,2,tie,1.080,51.85% vs 48.15%,7.78e-02,False
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,fusion,839,numbersLine,20,2,fusion,41.950,97.67% vs 2.33%,0.00e+00,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,companyName,27,fusion,860,2,fusion,31.850,3.04% vs 96.96%,0.00e+00,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,fusion,867,makeProfessional,29,2,fusion,29.900,96.76% vs 3.24%,0.00e+00,True
