model,mode_1,count_1,mode_2,count_2,total_pairs,winner,ratio,proportions,p_value,significant
Qwen_Qwen2.5-32B-Instruct-FC,endorsementLine,1196,original,0,2,endorsementLine,inf,100.00% vs 0.00%,0.00e+00,True
Qwen_Qwen2.5-14B-Instruct-FC,endorsementLine,1181,original,2,2,endorsementLine,590.500,99.83% vs 0.17%,0.00e+00,True
Qwen_Qwen2.5-32B-Instruct-FC,maintenanceLine,1192,original,3,2,maintenanceLine,397.330,99.75% vs 0.25%,0.00e+00,True
Qwen_Qwen2.5-32B-Instruct-FC,fusion,1146,original,3,2,fusion,382.000,99.74% vs 0.26%,0.00e+00,True
Qwen_Qwen2.5-14B-Instruct-FC,fusion,1102,original,9,2,fusion,122.440,99.19% vs 0.81%,0.00e+00,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,endorsementLine,999,original,26,2,endorsementLine,38.420,97.46% vs 2.54%,0.00e+00,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,fusion,840,original,25,2,fusion,33.600,97.11% vs 2.89%,0.00e+00,True
o1-2024-12-17-FC,endorsementLine,1126,original,44,2,endorsementLine,25.590,96.24% vs 3.76%,0.00e+00,True
Qwen_Qwen2.5-7B-Instruct-FC,endorsementLine,1101,original,59,2,endorsementLine,18.660,94.91% vs 5.09%,0.00e+00,True
Qwen_Qwen2.5-7B-Instruct-FC,fusion,1038,original,69,2,fusion,15.040,93.77% vs 6.23%,0.00e+00,True
o1-2024-12-17-FC,maintenanceLine,1096,original,79,2,maintenanceLine,13.870,93.28% vs 6.72%,0.00e+00,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,endorsementLine,101,original,9,2,endorsementLine,11.220,91.82% vs 8.18%,2.45e-35,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,fusion,455,original,59,2,fusion,7.710,88.52% vs 11.48%,1.02e-134,True
Qwen_Qwen2.5-14B-Instruct-FC,maintenanceLine,1115,original,171,2,maintenanceLine,6.520,86.70% vs 13.30%,2.43e-303,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,maintenanceLine,167,original,34,2,maintenanceLine,4.910,83.08% vs 16.92%,3.60e-40,True
Qwen_Qwen2.5-3B-Instruct-FC,endorsementLine,935,original,213,2,endorsementLine,4.390,81.45% vs 18.55%,1.65e-199,True
Qwen_Qwen2.5-32B-Instruct-FC,addExample,946,original,226,2,addExample,4.190,80.72% vs 19.28%,2.14e-194,True
Qwen_Qwen2.5-3B-Instruct-FC,fusion,834,original,230,2,fusion,3.630,78.38% vs 21.62%,3.76e-151,True
Qwen_Qwen2.5-7B-Instruct-FC,maintenanceLine,900,original,254,2,maintenanceLine,3.540,77.99% vs 22.01%,2.63e-159,True
Qwen_Qwen2.5-1.5B-Instruct-FC,endorsementLine,832,original,291,2,endorsementLine,2.860,74.09% vs 25.91%,2.26e-115,True
Qwen_Qwen2.5-32B-Instruct-FC,companyName,883,original,321,2,companyName,2.750,73.34% vs 26.66%,4.10e-116,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,addExample,410,original,150,2,addExample,2.730,73.21% vs 26.79%,1.92e-54,True
Qwen_Qwen2.5-14B-Instruct-FC,addExample,817,original,343,2,addExample,2.380,70.43% vs 29.57%,3.09e-86,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,companyName,115,original,50,2,companyName,2.300,69.70% vs 30.30%,8.29e-13,True
Qwen_Qwen2.5-32B-Instruct-FC,increaseLength,808,original,377,2,increaseLength,2.140,68.19% vs 31.81%,3.73e-70,True
